AL, 18, 2010100818, 01, CARQ, -24, 167N,  801W,  25,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD,  96, 182N,  852W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD, 108, 194N,  865W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD, 120, 206N,  872W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD, 132, 215N,  872W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD, 144, 222N,  863W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD, 156, 223N,  849W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMD, 168, 222N,  837W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM,  12, 134N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM,  24, 137N,  795W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM,  36, 140N,  804W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM,  48, 143N,  816W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM,  60, 146N,  829W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM,  72, 150N,  845W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM,  84, 152N,  862W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM,  96, 155N,  881W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM, 108, 156N,  900W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM, 120, 155N,  920W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM, 132, 150N,  939W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM, 144, 144N,  961W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM, 156, 139N,  983W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMM, 168, 136N, 1005W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS,  12, 131N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS,  24, 133N,  796W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS,  36, 132N,  806W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS,  48, 131N,  820W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS,  60, 129N,  833W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS,  72, 127N,  849W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS,  84, 124N,  867W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS,  96, 122N,  888W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS, 108, 118N,  912W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS, 120, 113N,  939W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS, 132, 107N,  968W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS, 144, 100N, 1000W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS, 156,  95N, 1032W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, BAMS, 168,  88N, 1064W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLIP,  12, 126N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLIP,  24, 125N,  796W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLIP,  36, 128N,  810W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLIP,  48, 136N,  829W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLIP,  72, 160N,  871W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5,  12, 127N,  783W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5,  24, 126N,  784W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5,  36, 127N,  783W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5,  48, 133N,  783W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5,  60, 141N,  793W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5,  72, 146N,  803W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5,  84, 155N,  806W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5,  96, 164N,  810W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5, 108, 174N,  811W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, CLP5, 120, 184N,  810W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP,   0, 132N,  786W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP,  12, 134N,  788W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP,  24, 137N,  795W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP,  36, 140N,  804W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP,  48, 143N,  816W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP,  60, 146N,  829W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP,  72, 150N,  845W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP,  84, 152N,  862W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP,  96, 155N,  881W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP, 108, 156N,  900W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, DSHP, 120, 155N,  920W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN,  12,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN,  24,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN,  36,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN,  48,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN,  60,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN,  72,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN,  84,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN,  96,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN, 108,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, IVCN, 120,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR,   0, 132N,  786W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR,  12, 132N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR,  24, 140N,  797W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR,  36, 153N,  806W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR,  48, 173N,  812W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR,  60, 199N,  814W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR,  72, 227N,  805W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR,  84, 254N,  781W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR,  96, 278N,  739W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR, 108, 293N,  676W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LBAR, 120, 310N,  590W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM,   0, 132N,  786W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM,  12, 134N,  788W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM,  24, 137N,  795W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM,  36, 140N,  804W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM,  48, 143N,  816W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM,  60, 146N,  829W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM,  72, 150N,  845W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM,  84, 152N,  862W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM,  96, 155N,  881W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM, 108, 156N,  900W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, LGEM, 120, 155N,  920W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5,  12,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5,  24,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5,  36,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5,  48,   0N,    0W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5,  60,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5,  72,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5,  84,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5,  96,   0N,    0W,  42,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5, 108,   0N,    0W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHF5, 120,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHFR,  12,   0N,    0W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHFR,  24,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHFR,  36,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHFR,  48,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHFR,  60,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHFR,  72,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP,   0, 132N,  786W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP,  12, 134N,  788W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP,  24, 137N,  795W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP,  36, 140N,  804W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP,  48, 143N,  816W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP,  60, 146N,  829W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP,  72, 150N,  845W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP,  84, 152N,  862W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP,  96, 155N,  881W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP, 108, 156N,  900W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100818, 03, SHIP, 120, 155N,  920W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100900, 01, CARQ, -24, 153N,  797W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2010100900, 01, CARQ, -18, 144N,  793W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2010100900, 01, CARQ, -12, 137N,  789W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 150,   7, 
AL, 18, 2010100900, 01, CARQ,  -6, 132N,  786W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, 18, 2010100900, 01, CARQ,   0, 134N,  784W,  25, 1007, LO,  34, NEQ,    0,    0,    0,    0, 1010,  200,  60,   0,   0,   L,   0,   X, 140,   4,     INVEST, M, 
AL, 18, 2010100900, 01, CARQ,   0, 134N,  784W,  25, 1007, LO,  50, NEQ,    0,    0,    0,    0, 1010,  200,  60,   0,   0,   L,   0,   X, 140,   4,     INVEST, M, 
AL, 18, 2010100900, 01, CARQ,   0, 134N,  784W,  25, 1007, LO,  64, NEQ,    0,    0,    0,    0, 1010,  200,  60,   0,   0,   L,   0,   X, 140,   4,     INVEST, M, 
AL, 18, 2010100900, 03,  NAM,   0, 124N,  776W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NAM,   6, 118N,  783W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX,   0, 131N,  783W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX,  12, 136N,  790W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX,  24, 144N,  798W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX,  36, 150N,  811W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX,  48, 153N,  821W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX,  60, 150N,  829W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX,  72, 151N,  835W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX,  84, 153N,  846W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX,  96, 151N,  853W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX, 108, 152N,  860W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03,  NGX, 120, 156N,  871W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AEMN,   0, 135N,  772W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AEMN,   6, 137N,  771W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AEMN,  12, 145N,  773W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AEMN,  18, 155N,  776W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AEMN,  24, 161N,  778W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AEMN,  30, 166N,  783W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AEMN,  36, 170N,  791W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AEMN,  42, 183N,  796W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP01,   0, 138N,  770W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP02,   0, 138N,  770W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP03,   0, 135N,  772W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP03,   6, 138N,  770W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP03,  12, 149N,  772W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP03,  18, 160N,  770W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP03,  24, 170N,  768W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP03,  30, 178N,  771W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP03,  36, 185N,  777W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP03,  42, 199N,  780W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP03,  48, 204N,  777W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP04,   0, 134N,  772W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP05,   0, 135N,  772W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,   0, 136N,  771W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,   6, 134N,  771W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  12, 148N,  770W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  18, 158N,  773W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  24, 162N,  778W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  30, 169N,  781W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  36, 175N,  789W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  42, 181N,  793W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  48, 198N,  791W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  54, 200N,  797W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  60, 200N,  802W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  66, 201N,  815W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  72, 196N,  824W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  78, 188N,  838W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  84, 185N,  849W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  90, 183N,  855W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06,  96, 173N,  867W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 102, 159N,  880W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 108, 163N,  885W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 114, 159N,  888W,  11, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 120, 160N,  889W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 126, 172N,  888W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 132, 167N,  881W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 138, 157N,  883W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 144, 157N,  883W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 150, 160N,  882W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 156, 160N,  887W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 162, 163N,  890W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 168, 168N,  884W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 174, 161N,  873W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 180, 158N,  876W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 186, 159N,  877W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 192, 157N,  872W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 198, 161N,  873W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 204, 161N,  876W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 210, 160N,  879W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP06, 216, 159N,  878W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP07,   0, 134N,  779W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP08,   0, 138N,  772W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP08,   6, 140N,  772W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP08,  12, 151N,  771W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP08,  18, 163N,  778W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP09,   0, 131N,  772W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP09,   6, 134N,  775W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP09,  12, 137N,  783W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP09,  18, 143N,  789W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2010100900, 03, AP09,  24, 150N,  787W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
