EP, 05, 2010062018, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062018, 03, GPCC,  24,   0N,    0W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062018, 03, GPCC,  36,   0N,    0W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062018, 03, GPCC,  48,   0N,    0W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062018, 03, GPCC,  72,   0N,    0W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062018, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062018, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062100, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062100, 03, GPCC,  24,   0N,    0W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062100, 03, GPCC,  36,   0N,    0W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062100, 03, GPCC,  48,   0N,    0W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062100, 03, GPCC,  72,   0N,    0W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062100, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062100, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062118, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062118, 03, GPCC,  24,   0N,    0W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062118, 03, GPCC,  36,   0N,    0W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062118, 03, GPCC,  48,   0N,    0W,  68,  119,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062118, 03, GPCC,  72,   0N,    0W,  68,  173,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062118, 03, GPCC,  96,   0N,    0W,  68,  227,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062118, 03, GPCC, 120,   0N,    0W,  68,  335,   ,   0,    ,    0,    0,    0,    0, 
EP, 05, 2010062200, 03, GPCC,  12,   0N,    0W,  68,   32,   ,   0,    ,    0,    0,    0,    0, 
