AL, 18, 2010100912, 03, GPCC,  48, 162N,  818W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, GPCC,  72, 196N,  816W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, GPCC,  96, 222N,  810W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, GPCC, 120, 249N,  766W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, TVCN,  12, 142N,  800W,  68,   57,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, TVCN,  24, 152N,  806W,  68,   93,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, TVCN,  36, 161N,  814W,  68,  126,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, TVCN,  48, 162N,  818W,  68,  146,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, TVCN,  72, 196N,  816W,  68,  148,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, TVCN,  96, 222N,  810W,  68,  221,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, TVCN, 120, 249N,  766W,  68,  316,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, TVCX,   0, 133N,  795W,  70,    0,   ,  23, AAA,    0,    0,    0,    0, 
AL, 18, 2010100912, 03, TVCX,  12, 142N,  799W,  70,   49,   ,  30, AAA,   49,   49,    2,    0, 
AL, 18, 2010100912, 03, TVCX,  24, 152N,  806W,  70,   81,   ,  37, AAA,   86,   77,    5,   -1, 
AL, 18, 2010100912, 03, TVCX,  36, 163N,  814W,  70,   99,   ,  69, AAA,  106,   93,    8,   -5, 
AL, 18, 2010100912, 03, TVCX,  48, 166N,  818W,  70,  121,   ,  76, AAA,  134,  110,   13,  -10, 
AL, 18, 2010100912, 03, TVCX,  72, 196N,  810W,  70,  158,   ,   0, AAA,  137,  183,   20,  -19, 
AL, 18, 2010100912, 03, TVCX,  96, 217N,  802W,  70,  237,   , 322, AAA,  186,  304,   18,  -32, 
AL, 18, 2010100912, 03, TVCX, 120, 239N,  761W,  70,  358,   , 294, AAA,  203,  633,    0,  -65, 
AL, 18, 2010100918, 03, GPCC,  12, 135N,  814W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, GPCC,  24, 141N,  822W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, GPCC,  36, 151N,  829W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, GPCC,  48, 160N,  837W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, GPCC,  72, 171N,  851W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, GPCC,  96, 204N,  864W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, GPCC, 120, 210N,  854W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, TVCN,  12, 135N,  814W,  68,   49,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, TVCN,  24, 141N,  822W,  68,   80,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, TVCN,  36, 151N,  829W,  68,  110,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, TVCN,  48, 160N,  837W,  68,  132,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, TVCN,  72, 171N,  851W,  68,  213,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, TVCN,  96, 204N,  864W,  68,  215,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, TVCN, 120, 210N,  854W,  68,  268,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, TVCX,   0, 135N,  808W,  70,    0,   ,  90, AAA,    0,    0,    0,    0, 
AL, 18, 2010100918, 03, TVCX,  12, 136N,  814W,  70,   44,   ,  83, AAA,   45,   45,    2,    0, 
AL, 18, 2010100918, 03, TVCX,  24, 142N,  821W,  70,   73,   ,  43, AAA,   75,   72,    5,   -1, 
AL, 18, 2010100918, 03, TVCX,  36, 152N,  827W,  70,  102,   ,  39, AAA,   83,  126,    8,   -5, 
AL, 18, 2010100918, 03, TVCX,  48, 162N,  835W,  70,  130,   ,  48, AAA,  102,  167,   13,  -10, 
AL, 18, 2010100918, 03, TVCX,  72, 175N,  846W,  70,  205,   ,  44, AAA,  145,  292,   20,  -19, 
AL, 18, 2010100918, 03, TVCX,  96, 211N,  859W,  70,  189,   ,  55, AAA,  209,  172,   18,  -32, 
AL, 18, 2010100918, 03, TVCX, 120, 199N,  852W,  70,  294,   , 281, AAA,  255,  341,    0,  -65, 
AL, 18, 2010101000, 03, GPCC,  12, 139N,  817W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, GPCC,  24, 149N,  825W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, GPCC,  36, 158N,  833W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, GPCC,  48, 163N,  839W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, GPCC,  72, 173N,  846W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, GPCC,  96, 201N,  853W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, GPCC, 120, 206N,  837W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, TVCN,  12, 139N,  817W,  68,   47,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, TVCN,  24, 149N,  825W,  68,   81,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, TVCN,  36, 158N,  833W,  68,  117,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, TVCN,  48, 163N,  839W,  68,  156,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, TVCN,  72, 173N,  846W,  68,  232,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, TVCN,  96, 201N,  853W,  68,  281,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, TVCN, 120, 206N,  837W,  68,  407,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, TVCX,   0, 135N,  812W,  70,    0,   ,  55, AAA,    0,    0,    0,    0, 
AL, 18, 2010101000, 03, TVCX,  12, 140N,  816W,  70,   42,   ,  44, AAA,   45,   40,    2,    0, 
AL, 18, 2010101000, 03, TVCX,  24, 150N,  824W,  70,   72,   ,  42, AAA,   77,   68,    5,   -1, 
AL, 18, 2010101000, 03, TVCX,  36, 160N,  831W,  70,  102,   ,  47, AAA,   91,  116,    8,   -5, 
AL, 18, 2010101000, 03, TVCX,  48, 166N,  837W,  70,  140,   ,  47, AAA,  116,  170,   13,  -10, 
AL, 18, 2010101000, 03, TVCX,  72, 175N,  840W,  70,  213,   ,  13, AAA,  155,  293,   20,  -19, 
AL, 18, 2010101000, 03, TVCX,  96, 209N,  853W,  70,  252,   ,  87, AAA,  251,  255,   18,  -32, 
AL, 18, 2010101000, 03, TVCX, 120, 196N,  834W,  70,  383,   , 285, AAA,  298,  493,    0,  -65, 
AL, 18, 2010101006, 03, GPCC,  12, 134N,  823W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, GPCC,  24, 139N,  834W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, GPCC,  36, 142N,  843W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, GPCC,  48, 144N,  849W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, GPCC,  72, 146N,  861W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, GPCC,  96, 137N,  873W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, GPCC, 120, 122N,  861W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, TVCN,  12, 134N,  823W,  68,   43,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, TVCN,  24, 139N,  834W,  68,   73,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, TVCN,  36, 142N,  843W,  68,  118,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, TVCN,  48, 144N,  849W,  68,  156,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, TVCN,  72, 146N,  861W,  68,  210,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, TVCN,  96, 137N,  873W,  68,  258,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, TVCN, 120, 122N,  861W,  68,  291,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, TVCX,   0, 129N,  814W,  70,    0,   ,  64, AAA,    0,    0,    0,    0, 
AL, 18, 2010101006, 03, TVCX,  12, 134N,  823W,  70,   44,   ,  63, AAA,   37,   53,    2,    0, 
AL, 18, 2010101006, 03, TVCX,  24, 140N,  834W,  70,   73,   ,  67, AAA,   63,   86,    5,   -1, 
AL, 18, 2010101006, 03, TVCX,  36, 145N,  843W,  70,  105,   ,  74, AAA,   89,  125,    8,   -5, 
AL, 18, 2010101006, 03, TVCX,  48, 148N,  847W,  70,  140,   ,  67, AAA,  115,  173,   13,  -10, 
AL, 18, 2010101006, 03, TVCX,  72, 152N,  861W,  70,  161,   ,  94, AAA,  184,  142,   20,  -19, 
AL, 18, 2010101006, 03, TVCX,  96, 130N,  879W,  70,  226,   , 230, AAA,  241,  213,   18,  -32, 
AL, 18, 2010101006, 03, TVCX, 120, 114N,  868W,  70,  300,   , 228, AAA,  263,  342,    0,  -65, 
AL, 18, 2010101012, 03, GPCC,  12, 135N,  822W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, GPCC,  24, 143N,  829W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, GPCC,  36, 156N,  841W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, GPCC,  48, 166N,  852W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, GPCC,  72, 176N,  866W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, GPCC,  96, 161N,  859W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, GPCC, 120, 166N,  863W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, TVCN,  12, 135N,  822W,  68,   43,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, TVCN,  24, 143N,  829W,  68,   68,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, TVCN,  36, 156N,  841W,  68,   91,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, TVCN,  48, 166N,  852W,  68,  106,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, TVCN,  72, 176N,  866W,  68,  156,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, TVCN,  96, 161N,  859W,  68,  223,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, TVCN, 120, 166N,  863W,  68,  200,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, TVCX,   0, 130N,  812W,  70,    0,   ,  74, AAA,    0,    0,    0,    0, 
AL, 18, 2010101012, 03, TVCX,  12, 135N,  822W,  70,   43,   ,  55, AAA,   40,   47,    2,    0, 
AL, 18, 2010101012, 03, TVCX,  24, 143N,  829W,  70,   65,   ,  41, AAA,   68,   63,    5,   -1, 
AL, 18, 2010101012, 03, TVCX,  36, 158N,  839W,  70,   92,   ,  44, AAA,   71,  120,    8,   -5, 
AL, 18, 2010101012, 03, TVCX,  48, 169N,  850W,  70,  120,   ,  47, AAA,   82,  176,   13,  -10, 
AL, 18, 2010101012, 03, TVCX,  72, 177N,  873W,  70,  148,   , 173, AAA,  145,  153,   20,  -19, 
AL, 18, 2010101012, 03, TVCX,  96, 161N,  849W,  70,  218,   , 357, AAA,  208,  229,   18,  -32, 
AL, 18, 2010101012, 03, TVCX, 120, 156N,  868W,  70,  279,   , 243, AAA,  200,  391,    0,  -65, 
AL, 18, 2010101018, 03, GPCC,  12, 136N,  818W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, GPCC,  24, 141N,  826W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, GPCC,  36, 146N,  834W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, GPCC,  48, 149N,  843W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, GPCC,  72, 149N,  856W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, GPCC,  96, 141N,  851W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, GPCC, 120, 131N,  858W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, TVCN,  12, 136N,  818W,  68,   43,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, TVCN,  24, 141N,  826W,  68,   90,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, TVCN,  36, 146N,  834W,  68,  137,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, TVCN,  48, 149N,  843W,  68,  176,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, TVCN,  72, 149N,  856W,  68,  236,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, TVCN,  96, 141N,  851W,  68,  289,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, TVCN, 120, 131N,  858W,  68,  344,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, TVCX,   0, 134N,  808W,  70,    0,   ,  81, AAA,    0,    0,    0,    0, 
AL, 18, 2010101018, 03, TVCX,  12, 137N,  818W,  70,   39,   ,  70, AAA,   44,   36,    2,    0, 
AL, 18, 2010101018, 03, TVCX,  24, 141N,  825W,  70,   80,   ,  59, AAA,   82,   79,    5,   -1, 
AL, 18, 2010101018, 03, TVCX,  36, 148N,  833W,  70,  116,   ,  64, AAA,  106,  129,    8,   -5, 
AL, 18, 2010101018, 03, TVCX,  48, 153N,  842W,  70,  135,   ,  81, AAA,  155,  118,   13,  -10, 
AL, 18, 2010101018, 03, TVCX,  72, 154N,  862W,  70,  202,   , 139, AAA,  179,  229,   20,  -19, 
AL, 18, 2010101018, 03, TVCX,  96, 138N,  859W,  70,  277,   , 204, AAA,  211,  364,   18,  -32, 
AL, 18, 2010101018, 03, TVCX, 120, 139N,  865W,  70,  327,   , 129, AAA,  339,  316,    0,  -65, 
AL, 18, 2010101100, 03, GPCC,  12, 140N,  820W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, GPCC,  24, 141N,  829W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, GPCC,  36, 142N,  837W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, GPCC,  48, 139N,  850W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, TVCN,  12, 140N,  820W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, TVCN,  24, 141N,  829W,  68,   94,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, TVCN,  36, 142N,  837W,  68,  136,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, TVCN,  48, 139N,  850W,  68,  204,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, TVCX,   0, 137N,  811W,  70,    0,   ,  66, AAA,    0,    0,    0,    0, 
AL, 18, 2010101100, 03, TVCX,  12, 141N,  820W,  70,   43,   ,  82, AAA,   46,   40,    2,    0, 
AL, 18, 2010101100, 03, TVCX,  24, 142N,  829W,  70,   79,   ,  85, AAA,   90,   71,    5,   -1, 
AL, 18, 2010101100, 03, TVCX,  36, 144N,  837W,  70,   94,   ,  99, AAA,  117,   76,    8,   -5, 
AL, 18, 2010101100, 03, TVCX,  48, 143N,  851W,  70,  113,   , 102, AAA,  187,   69,   13,  -10, 
AL, 18, 2010101106, 03, GPCC,  12, 153N,  832W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, GPCC,  24, 165N,  846W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, GPCC,  36, 176N,  856W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, GPCC,  48, 185N,  861W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, GPCC,  72, 194N,  855W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, GPCC,  96, 205N,  823W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, GPCC, 120, 231N,  771W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, TVCN,  12, 153N,  832W,  68,   42,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, TVCN,  24, 165N,  846W,  68,   68,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, TVCN,  36, 176N,  856W,  68,   90,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, TVCN,  48, 185N,  861W,  68,  104,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, TVCN,  72, 194N,  855W,  68,  168,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, TVCN,  96, 205N,  823W,  68,  309,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, TVCN, 120, 231N,  771W,  68,  701,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, TVCX,   0, 142N,  820W,  70,    0,   ,  46, AAA,    0,    0,    0,    0, 
AL, 18, 2010101106, 03, TVCX,  12, 153N,  832W,  70,   42,   ,  49, AAA,   38,   48,    2,    0, 
AL, 18, 2010101106, 03, TVCX,  24, 165N,  845W,  70,   70,   ,  46, AAA,   60,   84,    5,   -1, 
AL, 18, 2010101106, 03, TVCX,  36, 177N,  854W,  70,   90,   ,  35, AAA,   69,  119,    8,   -5, 
AL, 18, 2010101106, 03, TVCX,  48, 186N,  857W,  70,  112,   ,   5, AAA,   88,  143,   13,  -10, 
AL, 18, 2010101106, 03, TVCX,  72, 188N,  852W,  70,  159,   , 297, AAA,  145,  176,   20,  -19, 
AL, 18, 2010101106, 03, TVCX,  96, 197N,  820W,  70,  292,   , 289, AAA,  221,  387,   18,  -32, 
AL, 18, 2010101106, 03, TVCX, 120, 222N,  765W,  70,  511,   , 302, AAA,  245, 1069,    0,  -65, 
AL, 18, 2010101112, 03, GPCC,  12, 160N,  841W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, GPCC,  24, 168N,  853W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, GPCC,  36, 175N,  861W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, GPCC,  48, 197N,  867W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, GPCC,  72, 204N,  857W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, GPCC,  96, 213N,  823W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, GPCC, 120, 240N,  779W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, TVCN,  12, 160N,  841W,  68,   63,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, TVCN,  24, 168N,  853W,  68,  109,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, TVCN,  36, 175N,  861W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, TVCN,  48, 197N,  867W,  68,  110,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, TVCN,  72, 204N,  857W,  68,  168,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, TVCN,  96, 213N,  823W,  68,  332,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, TVCN, 120, 240N,  779W,  68,  724,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, TVCX,   0, 152N,  830W,  70,    0,   ,  54, AAA,    0,    0,    0,    0, 
AL, 18, 2010101112, 03, TVCX,  12, 160N,  841W,  70,   55,   ,  55, AAA,   46,   65,    2,    0, 
AL, 18, 2010101112, 03, TVCX,  24, 169N,  852W,  70,   95,   ,  55, AAA,   84,  108,    5,   -1, 
AL, 18, 2010101112, 03, TVCX,  36, 175N,  859W,  70,  129,   ,  31, AAA,   87,  194,    8,   -5, 
AL, 18, 2010101112, 03, TVCX,  48, 199N,  864W,  70,  114,   ,  36, AAA,   89,  149,   13,  -10, 
AL, 18, 2010101112, 03, TVCX,  72, 197N,  855W,  70,  161,   , 287, AAA,  146,  179,   20,  -19, 
AL, 18, 2010101112, 03, TVCX,  96, 205N,  820W,  70,  308,   , 290, AAA,  209,  457,   18,  -32, 
AL, 18, 2010101112, 03, TVCX, 120, 232N,  771W,  70,  523,   , 310, AAA,  233, 1175,    0,  -65, 
AL, 18, 2010101118, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101118, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, 18, 2010101118, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
