EP, C2, 2010082000, 01, CARQ, -24, 158N, 1029W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, C2, 2010082000, 01, CARQ, -18, 163N, 1039W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, C2, 2010082000, 01, CARQ, -12, 168N, 1049W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 298,  11, 
EP, C2, 2010082000, 01, CARQ,  -6, 173N, 1059W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
EP, C2, 2010082000, 01, CARQ,   0, 177N, 1068W,  25, 1005, DB,  34, NEQ,    0,    0,    0,    0, 1008,  150,  20,   0,   0,   E,   0,   X, 295,  10,     INVEST, D, 
EP, C2, 2010082000, 01, CARQ,   0, 177N, 1068W,  25, 1005, DB,  50, NEQ,    0,    0,    0,    0, 1008,  150,  20,   0,   0,   E,   0,   X, 295,  10,     INVEST, D, 
EP, C2, 2010082000, 01, CARQ,   0, 177N, 1068W,  25, 1005, DB,  64, NEQ,    0,    0,    0,    0, 1008,  150,  20,   0,   0,   E,   0,   X, 295,  10,     INVEST, D, 
EP, C2, 2010082000, 03,  EMX,   0, 177N, 1063W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  EMX,  12, 182N, 1084W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  EMX,  24, 189N, 1098W,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  EMX,  36, 191N, 1104W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  EMX,  48, 196N, 1114W,  13, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  EMX,  60, 196N, 1121W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  EMX,  72, 193N, 1125W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  EMX,  84, 182N, 1139W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  NAM,   0, 182N, 1066W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  NAM,   6, 195N, 1075W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  NAM,  12, 200N, 1078W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  NAM,  18, 198N, 1077W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  NAM,  24, 203N, 1084W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  NAM,  30, 208N, 1091W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  NAM,  36, 208N, 1095W,  10, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  NAM,  42, 203N, 1099W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  UKX,   0, 174N, 1061W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  UKX,  12, 186N, 1075W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  UKX,  24, 189N, 1089W,  16, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  UKX,  36, 190N, 1102W,  13, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  UKX,  48, 193N, 1111W,  11, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  UKX,  60, 188N, 1118W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03,  UKX,  72, 186N, 1113W,  11, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AC00,   0, 180N, 1065W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AC00,   6, 189N, 1070W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AC00,  12, 191N, 1077W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AC00,  18, 193N, 1086W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AC00,  24, 196N, 1090W,  13, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AC00,  30, 196N, 1099W,  11, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AC00,  36, 194N, 1097W,  10, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,   0, 178N, 1064W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,   6, 185N, 1073W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,  12, 186N, 1081W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,  18, 186N, 1088W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,  24, 190N, 1094W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,  30, 189N, 1099W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,  36, 191N, 1103W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,  42, 192N, 1104W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,  48, 191N, 1107W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,  54, 191N, 1110W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AEMN,  60, 189N, 1112W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AP01,   0, 175N, 1061W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, C2, 2010082000, 03, AP01,   6, 186N, 1070W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
