AL, 04, 2010080106, 01, CARQ, -24,  86N,  332W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP05,  30, 130N,  382W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP05,  36, 136N,  410W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP05,  42, 139N,  440W,  31, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP05,  48, 156N,  462W,  30, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP05,  54, 161N,  489W,  31, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP06,   0,  97N,  354W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP06,   6, 102N,  345W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP06,  12, 110N,  338W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP06,  18, 116N,  342W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP06,  24, 119N,  356W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP06,  30, 123N,  381W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP06,  36, 130N,  405W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP06,  42, 140N,  430W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP06,  48, 140N,  457W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP07,   0,  94N,  356W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP07,   6,  94N,  360W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP07,  12,  90N,  376W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP07,  18,  89N,  382W,  10, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP07,  24,  83N,  395W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP08,   0, 100N,  344W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP08,   6,  99N,  350W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP08,  12,  99N,  364W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP08,  18,  94N,  373W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP08,  24,  82N,  388W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP08,  30,  72N,  411W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,   0,  97N,  353W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,   6,  99N,  351W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  12,  95N,  347W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  18, 102N,  333W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  24, 109N,  339W,  33, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  30, 112N,  361W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  36, 116N,  385W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  42, 119N,  409W,  34, 1010, XX,  34, NEQ,   86,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  48, 118N,  429W,  36, 1008, XX,  34, NEQ,    0,    0,    0,   81, 
AL, 04, 2010080106, 03, AP09,  54, 120N,  450W,  35, 1010, XX,  34, NEQ,   92,    0,    0,   60, 
AL, 04, 2010080106, 03, AP09,  60, 127N,  470W,  38, 1008, XX,  34, NEQ,  104,    0,    0,   76, 
AL, 04, 2010080106, 03, AP09,  66, 131N,  495W,  34, 1010, XX,  34, NEQ,  103,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  72, 141N,  519W,  34, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  78, 146N,  542W,  37, 1010, XX,  34, NEQ,  115,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  84, 153N,  564W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  90, 157N,  582W,  31, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09,  96, 162N,  607W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP09, 102, 174N,  628W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP10,   0,  96N,  365W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP10,   6,  96N,  366W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP10,  12,  97N,  373W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP10,  18,  99N,  375W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP10,  24, 102N,  375W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP10,  30, 102N,  386W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP10,  36, 100N,  402W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP11,   0,  99N,  358W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP11,   6,  97N,  362W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP11,  12,  98N,  368W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP11,  18, 105N,  367W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP11,  24, 108N,  373W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP11,  30, 105N,  389W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP11,  36, 111N,  405W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP12,   0,  97N,  361W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP12,   6,  98N,  360W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP12,  12, 108N,  349W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP12,  18, 110N,  355W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP12,  24, 115N,  363W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP12,  30, 112N,  379W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP12,  36, 105N,  412W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP12,  42, 100N,  430W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP13,   0, 103N,  349W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP13,   6, 104N,  349W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP13,  12, 104N,  339W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP13,  18, 103N,  335W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP13,  24, 110N,  349W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP13,  30, 110N,  377W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP13,  36, 111N,  407W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP13,  42, 111N,  426W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP13,  48, 116N,  449W,  30, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,   0,  97N,  353W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,   6, 102N,  346W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  12, 108N,  352W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  18, 110N,  364W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  24, 118N,  374W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  30, 121N,  390W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  36, 129N,  409W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  42, 139N,  433W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  48, 148N,  457W,  32, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  54, 162N,  481W,  33, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  60, 171N,  509W,  32, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  66, 187N,  535W,  32, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  72, 205N,  554W,  30, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  78, 211N,  578W,  30, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  84, 220N,  598W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  90, 234N,  610W,  25, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14,  96, 246N,  623W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 102, 257N,  636W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 108, 269N,  641W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 114, 273N,  652W,  14, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 120, 287N,  649W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 126, 294N,  647W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 132, 300N,  645W,  17, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 138, 306N,  633W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 144, 302N,  647W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 150, 310N,  645W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 156, 318N,  643W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 162, 320N,  642W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 168, 327N,  642W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 174, 327N,  640W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 180, 332N,  639W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 186, 341N,  635W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 192, 343N,  627W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 198, 347N,  621W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 204, 360N,  610W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 210, 363N,  593W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 216, 367N,  573W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 222, 378N,  558W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 228, 396N,  530W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 234, 409N,  517W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP14, 240, 421N,  502W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP15,   0,  98N,  357W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP15,   6, 100N,  356W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP15,  12, 103N,  357W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP15,  18, 108N,  370W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP15,  24, 105N,  379W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP15,  30, 102N,  392W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP15,  36, 106N,  409W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP15,  42, 109N,  430W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP15,  48, 121N,  450W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,   0,  97N,  350W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,   6, 100N,  350W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  12, 100N,  356W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  18, 100N,  351W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  24, 106N,  344W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  30, 121N,  360W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  36, 128N,  383W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  42, 133N,  409W,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  48, 141N,  433W,  35, 1009, XX,  34, NEQ,   70,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  54, 149N,  460W,  39, 1012, XX,  34, NEQ,  101,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  60, 158N,  485W,  35, 1010, XX,  34, NEQ,   79,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  66, 169N,  512W,  33, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  72, 179N,  541W,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  78, 197N,  563W,  33, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  84, 208N,  591W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  90, 219N,  608W,  26, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16,  96, 222N,  627W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP16, 102, 230N,  650W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP17,   0,  96N,  356W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,   0,  98N,  366W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,   6,  93N,  370W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  12,  98N,  366W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  18,  99N,  360W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  24, 116N,  344W,  27, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  30, 120N,  361W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  36, 122N,  387W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  42, 130N,  410W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  48, 135N,  436W,  32, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  54, 141N,  460W,  34, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  60, 155N,  490W,  33, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  66, 161N,  521W,  33, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP18,  72, 167N,  549W,  30, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,   0,  94N,  358W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,   6,  98N,  360W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  12, 100N,  357W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  18,  97N,  358W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  24,  93N,  367W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  30,  95N,  378W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  36, 110N,  387W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  42, 120N,  412W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  48, 130N,  439W,  35, 1009, XX,  34, NEQ,   83,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  54, 135N,  462W,  38, 1011, XX,  34, NEQ,  102,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  60, 140N,  489W,  33, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  66, 146N,  512W,  34, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  72, 155N,  535W,  34, 1009, XX,  34, NEQ,  122,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  78, 166N,  554W,  37, 1010, XX,  34, NEQ,  130,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  84, 173N,  580W,  33, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  90, 185N,  602W,  31, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19,  96, 187N,  621W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2010080106, 03, AP19, 102, 190N,  639W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
