EP, 15, 2020090412, 01, CARQ, -24, 148N,  919W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 15, 2020090412, 01, CARQ, -18, 146N,  927W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 15, 2020090412, 01, CARQ, -12, 145N,  934W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X, 262,   7,     INVEST,  , 
EP, 15, 2020090412, 01, CARQ,  -6, 144N,  941W,  15,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   E,   0,   X,   0,   0,     INVEST,  , 
EP, 15, 2020090412, 01, CARQ,   0, 143N,  947W,  25, 1007, DB,  34, NEQ,    0,    0,    0,    0, 1009,  150,  40,   0,   0,   E,   0,   X, 260,   7,     INVEST, M, 
EP, 15, 2020090412, 01, CARQ,   0, 143N,  947W,  25, 1007, DB,  50, NEQ,    0,    0,    0,    0, 1009,  150,  40,   0,   0,   E,   0,   X, 260,   7,     INVEST, M, 
EP, 15, 2020090412, 01, CARQ,   0, 143N,  947W,  25, 1007, DB,  64, NEQ,    0,    0,    0,    0, 1009,  150,  40,   0,   0,   E,   0,   X, 260,   7,     INVEST, M, 
EP, 15, 2020090412, 03,  CMC,   0, 144N,  945W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03,  UKX,   0, 143N,  948W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03,  UKX,  12, 142N,  966W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03,  UKX,  24, 138N,  986W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AC00,   0, 146N,  945W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AC00,   6, 144N,  953W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AC00,  12, 143N,  964W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AEMN,   0, 146N,  945W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AEMN,   6, 145N,  953W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AEMN,  12, 143N,  963W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AEMN,  18, 142N,  980W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AEMN,  24, 138N,  999W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP01,   0, 144N,  944W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP01,   6, 144N,  952W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP01,  12, 143N,  963W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP01,  18, 141N,  981W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP02,   0, 151N,  946W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP02,   6, 148N,  953W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP02,  12, 147N,  964W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP02,  18, 148N,  985W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP03,   0, 144N,  944W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP03,   6, 145N,  951W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP03,  12, 142N,  960W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP03,  18, 136N,  966W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP04,   0, 143N,  945W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP04,   6, 143N,  955W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP04,  12, 142N,  963W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP04,  18, 143N,  979W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP05,   0, 146N,  946W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP05,   6, 143N,  953W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP05,  12, 140N,  965W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP05,  18, 141N,  980W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP06,   0, 146N,  944W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP06,   6, 145N,  952W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP06,  12, 145N,  961W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,   0, 151N,  945W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,   6, 149N,  954W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  12, 149N,  967W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  18, 154N,  992W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  24, 160N, 1018W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  30, 165N, 1033W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  36, 167N, 1051W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  42, 168N, 1076W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  48, 170N, 1099W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  54, 174N, 1115W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  60, 173N, 1126W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  66, 171N, 1135W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  72, 170N, 1140W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  78, 171N, 1140W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  84, 176N, 1140W,  22, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  90, 178N, 1143W,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07,  96, 179N, 1148W,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 102, 178N, 1156W,  22, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 108, 176N, 1163W,  21, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 114, 174N, 1172W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 120, 169N, 1175W,  22, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 126, 169N, 1176W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 132, 173N, 1176W,  24, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 138, 176N, 1178W,  23, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 144, 181N, 1182W,  26, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 150, 187N, 1187W,  27, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 156, 195N, 1193W,  28, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 162, 203N, 1198W,  29, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 168, 211N, 1207W,  29, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 174, 217N, 1215W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 180, 223N, 1224W,  33, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 186, 227N, 1235W,  34, 1003, XX,  34, NEQ,   78,    0,    0,   81, 
EP, 15, 2020090412, 03, AP07, 192, 228N, 1246W,  33, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 198, 228N, 1252W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 204, 226N, 1259W,  23, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 210, 224N, 1265W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 216, 223N, 1270W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 222, 221N, 1274W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 228, 219N, 1277W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 234, 214N, 1280W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP07, 240, 211N, 1283W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP08,   0, 148N,  944W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP08,   6, 145N,  953W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP08,  12, 144N,  963W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP08,  18, 145N,  981W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP09,   0, 143N,  945W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP09,   6, 142N,  953W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP09,  12, 139N,  962W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP09,  18, 138N,  978W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP10,   0, 149N,  946W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP10,   6, 148N,  953W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP10,  12, 147N,  962W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP10,  18, 146N,  970W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP11,   0, 144N,  943W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP11,   6, 142N,  952W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP11,  12, 139N,  962W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP11,  18, 138N,  974W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP11,  24, 130N,  991W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP12,   0, 146N,  945W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP12,   6, 144N,  954W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP12,  12, 145N,  964W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP13,   0, 145N,  944W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP13,   6, 145N,  952W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP13,  12, 145N,  963W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP13,  18, 146N,  979W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP13,  24, 147N,  996W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP13,  30, 150N, 1011W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP13,  36, 163N, 1026W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP14,   0, 143N,  948W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP14,   6, 143N,  955W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP14,  12, 142N,  967W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP14,  18, 144N,  989W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP14,  24, 148N, 1013W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP14,  30, 153N, 1027W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP14,  36, 160N, 1040W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP14,  42, 164N, 1053W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP14,  48, 170N, 1067W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP15,   0, 148N,  946W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP15,   6, 148N,  952W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP15,  12, 148N,  960W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP16,   0, 142N,  945W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP16,   6, 143N,  954W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP16,  12, 139N,  962W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP16,  18, 131N,  976W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP16,  24, 110N,  984W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,   0, 148N,  944W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,   6, 146N,  954W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  12, 145N,  965W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  18, 140N,  982W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  24, 142N,  998W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  30, 149N, 1012W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  36, 164N, 1028W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  42, 173N, 1068W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  48, 174N, 1097W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  54, 175N, 1111W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  60, 176N, 1121W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  66, 180N, 1124W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  72, 183N, 1131W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  78, 185N, 1138W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  84, 182N, 1143W,  13, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  90, 175N, 1154W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17,  96, 172N, 1156W,  17, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 102, 170N, 1160W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 108, 169N, 1159W,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 114, 165N, 1161W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 120, 165N, 1165W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 126, 164N, 1166W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 132, 163N, 1168W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 138, 165N, 1172W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 144, 164N, 1176W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 150, 164N, 1184W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 156, 163N, 1188W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 162, 164N, 1196W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 168, 164N, 1201W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 174, 163N, 1207W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 180, 163N, 1213W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 186, 162N, 1219W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 192, 162N, 1226W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 198, 163N, 1233W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 204, 163N, 1237W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 210, 161N, 1243W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 216, 158N, 1252W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 222, 158N, 1259W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 228, 158N, 1266W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 234, 155N, 1275W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP17, 240, 153N, 1283W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,   0, 143N,  944W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,   6, 143N,  953W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  12, 138N,  960W,  10, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  18, 131N,  973W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  24, 112N,  982W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  30, 106N,  991W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  36, 109N,  989W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  42, 109N,  984W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  48, 111N,  980W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  54, 106N,  972W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  60, 127N,  953W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  66, 129N,  950W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 15, 2020090412, 03, AP18,  72, 125N,  955W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
