AL, 96, 2011090618, 01, CARQ, -24, 230N,  950W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 96, 2011090618, 01, CARQ, -18, 219N,  945W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 96, 2011090618, 01, CARQ, -12, 215N,  943W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 153,   5,     INVEST,  , 
AL, 96, 2011090618, 01, CARQ,  -6, 210N,  940W,  25,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X,   0,   0,     INVEST,  , 
AL, 96, 2011090618, 01, CARQ,   0, 206N,  938W,  25, 1008, DB,  34, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   L,   0,   X, 155,   3,     INVEST, S, 
AL, 96, 2011090618, 01, CARQ,   0, 206N,  938W,  25, 1008, DB,  50, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   L,   0,   X, 155,   3,     INVEST, S, 
AL, 96, 2011090618, 01, CARQ,   0, 206N,  938W,  25, 1008, DB,  64, NEQ,    0,    0,    0,    0, 1010,  120,  60,   0,   0,   L,   0,   X, 155,   3,     INVEST, S, 
AL, 96, 2011090618, 03,  NAM,   0, 194N,  929W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 96, 2011090618, 03,  NAM,   6, 194N,  925W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 96, 2011090618, 03,  NAM,  12, 199N,  929W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 96, 2011090618, 03,  NAM,  18, 201N,  930W,  31, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 96, 2011090618, 03,  NAM,  24, 202N,  932W,  39, 1006, XX,  34, NEQ,    0,    0,  101,   76, 
AL, 96, 2011090618, 03,  NAM,  30, 201N,  927W,  39, 1003, XX,  34, NEQ,    0,   61,  137,    0, 
AL, 96, 2011090618, 03,  NAM,  36, 207N,  927W,  40, 1004, XX,  34, NEQ,   45,    0,  190,    0, 
AL, 96, 2011090618, 03,  NAM,  42, 213N,  932W,  43, 1001, XX,  34, NEQ,   98,  119,  175,  143, 
AL, 96, 2011090618, 03,  NAM,  48, 212N,  935W,  47,  998, XX,  34, NEQ,  125,  115,  166,  172, 
AL, 96, 2011090618, 03,  NAM,  54, 216N,  938W,  52,  993, XX,  34, NEQ,  117,  130,  151,  153, 
AL, 96, 2011090618, 03,  NAM,  54, 216N,  938W,  52,  993, XX,  50, NEQ,    0,   70,   70,    0, 
AL, 96, 2011090618, 03,  NAM,  60, 220N,  943W,  58,  987, XX,  34, NEQ,  135,  134,  134,  141, 
AL, 96, 2011090618, 03,  NAM,  60, 220N,  943W,  58,  987, XX,  50, NEQ,   49,   76,   67,   74, 
AL, 96, 2011090618, 03,  NAM,  66, 223N,  945W,  68,  979, XX,  34, NEQ,  137,  129,  133,  135, 
AL, 96, 2011090618, 03,  NAM,  66, 223N,  945W,  68,  979, XX,  50, NEQ,   65,   78,   81,   80, 
AL, 96, 2011090618, 03,  NAM,  66, 223N,  945W,  68,  979, XX,  64, NEQ,    0,   46,   57,    0, 
AL, 96, 2011090618, 03,  NAM,  72, 228N,  947W,  73,  976, XX,  34, NEQ,  133,  145,  132,  147, 
AL, 96, 2011090618, 03,  NAM,  72, 228N,  947W,  73,  976, XX,  50, NEQ,   71,   83,   76,   84, 
AL, 96, 2011090618, 03,  NAM,  72, 228N,  947W,  73,  976, XX,  64, NEQ,    0,   62,   56,   48, 
AL, 96, 2011090618, 03,  NAM,  78, 232N,  948W,  73,  973, XX,  34, NEQ,  172,  118,  133,  151, 
AL, 96, 2011090618, 03,  NAM,  78, 232N,  948W,  73,  973, XX,  50, NEQ,   79,   75,   74,   92, 
AL, 96, 2011090618, 03,  NAM,  78, 232N,  948W,  73,  973, XX,  64, NEQ,   47,   54,   58,   54, 
